University ID,Program,Specialisations (comma sep),Fee Range,Duration,Avg Salary,Entry Roles (comma sep),Top Companies (comma sep),Internship / Project Type,Career Outcome (1 sentence)
dypatil,MCA,"Data Science,Cloud Computing,Cyber Security,Artificial Intelligence,Full Stack Development",₹60K – ₹200K,2 Years,₹5L – ₹20L per annum,"Software Engineer,ML Engineer,Cloud Developer,Cyber Security Analyst","Indigo Airlines,American Express,Cipla,Emerson,Bajaj,Vodafone,IBM,Genpact,Taj Hotels,Oberoi Hotels",Industry project and virtual internship,"UGC DEB approved MCA from D.Y. Patil University, Navi Mumbai — recognised for corporate hiring."
dypatil,BBA,"General Management,Aviation,Travel & Tourism,Marketing,Logistics,Event Mgmt,Sports Mgmt,Retail Ops,Hospital Mgmt,Invest Bank",₹60K – ₹200K,3 Years,₹2.5L – ₹6L per annum,"Management Trainee,Sales Executive,HR Executive,Operations Coordinator","Indigo Airlines,American Express,Cipla,Emerson,Bajaj,Vodafone,IBM,Genpact,Taj Hotels,Oberoi Hotels",Industry project and virtual internship,"UGC DEB approved BBA from D.Y. Patil University, Navi Mumbai — recognised for corporate hiring."
dypatil,BCA,"Web Development,Data Science,Cloud Technology & Information Security,Artificial Intelligence,Full Stack Development",₹60K – ₹200K,3 Years,₹3L – ₹8L per annum,"Software Developer,Web Developer,Database Administrator,IT Support,Data Analyst","Indigo Airlines,American Express,Cipla,Emerson,Bajaj,Vodafone,IBM,Genpact,Taj Hotels,Oberoi Hotels",Industry project and virtual internship,"UGC DEB approved BCA from D.Y. Patil University, Navi Mumbai — recognised for corporate hiring."
universi-of-petroleu-and,MBA,"Marketing Management,Human Resource Management,Financial Management,Operations Management,Business Analytics,Logistics & Supply Chain Management,International Business,Digital Business,Oil and Gas Management,Power Management,Infrastructure Management",₹0.1L – ₹2.4L,2 Years,₹4L – ₹12L per annum,"Marketing Coordinator,Marketing Analyst,Digital Marketing Specialist,Market Researcher","Not explicitly listed on program page (alumni placed at TCS,Infosys,HCL,Wipro,Deloitte,KPMG per home page)",Industry project and virtual internship,UGC DEB approved MBA from UPES Online (University of Petroleu — recognised for corporate hiring.
universi-of-petroleu-and,MCA,"Artificial Intelligence & Machine Learning,Cyber Security & Forensics,Data Science",₹185K – ₹185K,2 Years,₹5L – ₹20L per annum,"ML Engineer,AI Analyst,Data Scientist (Jnr),NLP Engineer",Not explicitly listed for MCA,Industry project and virtual internship,UGC DEB approved MCA from UPES Online (University of Petroleu — recognised for corporate hiring.
universi-of-petroleu-and,BBA,"Marketing Management,Human Resource Management,Financial Management,Operations Management,Digital Business,Logistics & Supply Chain Management,International Business",₹169K – ₹169K,3 Years,₹2.5L – ₹6L per annum,"Marketing Assistant,Sales Executive,Digital Marketing Assistant,Brand Intern",Not explicitly listed for BBA,Industry project and virtual internship,UGC DEB approved BBA from UPES Online (University of Petroleu — recognised for corporate hiring.
universi-of-petroleu-and,BCA,"New Age Technology,Cloud Computing & Cyber Security,Data Analytics",₹60K – ₹200K,3 Years,₹3L – ₹8L per annum,"Software Developer,Cloud Support,IoT Developer,Tech Analyst",Not explicitly listed,Industry project and virtual internship,UGC DEB approved BCA from UPES Online (University of Petroleu — recognised for corporate hiring.
parul-universi,MBA,"Agribusiness Management,Banking & Financial Services,Business Analytics,Digital Marketing & Sales,Entrepreneurship & Innovation Management,Family Managed Business,Finance,Forensic Accounting & Corporate Fraud Investigation,Healthcare Management,Human Resource Management,Information Technology (IT),International Trade & Business,Logistics & Supply Chain Management,Marketing,Operations Management,Pharmaceutical Management,Project Management,Public Policy,Retail Management,Tourism & Event Management",₹37K – ₹150K,2 Yrs,₹5L – ₹15L per annum,"Marketing Executive,Brand Trainee,Digital Marketing Executive,Sales Trainee","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved MBA from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,MCA,"General (AI & Robotics,Deep Learning,Computer Vision,Cyber Security,Cloud)",₹0.1L – ₹1.0L,2 Yrs,₹4L – ₹16L per annum,"Software Developer,Java Developer,Python Developer,AI/ML Trainee,Cloud Engineer Trainee","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved MCA from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,BBA,"Finance,Marketing,Human Resource Management",₹18K – ₹70K,3 Yrs,₹3L – ₹8L per annum,"Finance Trainee,Accounts Executive,Business Development Trainee","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved BBA from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,BCA,"General (AI,Machine Learning,Deep Learning,Mobile App Dev,Data Mining)",₹0.1L – ₹0.9L,3 Yrs,₹3L – ₹12L per annum,"Web Developer,Java Developer,Python Developer,Software Tester,ML Trainee","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved BCA from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,B.Com,"Accounting & Finance,Banking & Insurance",₹60K – ₹70K,3 Yrs,₹3L – ₹8L per annum,"Accounts Executive,Tax Trainee,Audit Trainee,Finance Assistant","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved B.Com from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,BA,"Psychology,English Literature,Journalism & Mass Communication",₹60K – ₹70K,3 Yrs,₹2.5L – ₹7L per annum,"Counsellor Trainee,Research Assistant,HR Trainee,Social Worker","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved BA from Parul University – Online (paruluni — recognised for corporate hiring.
parul-universi,M.Com,"General (Accountancy,Finance,Elective-based)",₹15K – ₹60K,2 Yrs,₹4L – ₹12L per annum,"Accounts Executive,Tax Analyst,Audit Trainee,Finance Analyst","Reliance Digital,TCS (Tata Consultancy Services),Amazon,L&T (Larsen & Toubro),Capgemini,UltraTech Cement,Deloitte,Apple,Tesla,Google",Industry project and virtual internship,UGC DEB approved M.Com from Parul University – Online (paruluni — recognised for corporate hiring.
amrita-vishwa-vidyapee,MBA,"Finance,Fintech,Marketing,Business Analytics,Operations Management,Artificial Intelligence,International Finance and Accounting (ACCA),Environmental, Social, and Governance (ESG)",₹220K – ₹220K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
amrita-vishwa-vidyapee,MCA,"Cybersecurity,Artificial Intelligence and Machine Learning",₹195K – ₹195K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
amrita-vishwa-vidyapee,BBA,"Banking & Fintech,Data Analytics,Digital Marketing,International Finance (ACCA)",₹165K – ₹165K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
amrita-vishwa-vidyapee,BCA,"Artificial Intelligence and Data Science,General (Computer Applications)",₹165K – ₹165K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved BCA from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
amrita-vishwa-vidyapee,B.Com,"International Finance and Accounting,General (Commerce)",₹150K – ₹150K,3 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved B.Com from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
amrita-vishwa-vidyapee,M.Com,"International Finance and Accounting,General (Commerce and Management)",₹120K – ₹120K,2 Years,₹4L – ₹12L per annum,"Management Trainee,Business Analyst,Operations Executive","TCS,Infosys,Wipro,HDFC Bank",Industry project and virtual internship,UGC DEB approved M.Com from Amrita Vishwa Vidyapeetham (Amrita — recognised for corporate hiring.
mangalay-universi,MBA,"Marketing Management,Finance,Human Resource Management,Business Analytics,Operations Management,Logistics & Supply Chain Management,International Business,Digital Marketing",₹67K – ₹241K,2 Yrs,₹4L – ₹12L per annum,"HR Executive,IR Executive,L&D Coordinator,Talent Acquisition Trainee","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved MBA from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,MCA,"General (AI,Data Science R,Advanced Cyber Security,Big Data,NLP,Quantum Computing,Mobile Computing)",₹67K – ₹67K,2 Yrs,₹4L – ₹14L per annum,"Software Developer,Python Developer,ML Trainee,Data Analyst,Web Developer","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved MCA from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,BBA,"Marketing,Finance,Human Resource Management",₹31K – ₹103K,3 Yrs,₹3L – ₹8L per annum,"Marketing Executive,Finance Trainee,HR Trainee,Business Development Trainee","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved BBA from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,BCA,"General (AI,Machine Learning,Java,Python,Web Dev,DBMS)",₹70K – ₹103K,3 Yrs,₹3L – ₹10L per annum,"Web Developer,Java Developer,Python Developer,AI/ML Trainee","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved BCA from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,BA,"Humanities,Sociology,Ethics & Social Sciences",₹31K – ₹55K,3 Yrs,₹2.5L – ₹6L per annum,"Content Writer,Research Assistant,Social Worker,Government Trainee","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved BA from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,M.Com,"General (Accounting,Direct & Indirect Taxation,International Business,Finance)",₹67K – ₹67K,2 Yrs,₹4L – ₹12L per annum,"Accounts Executive,Tax Analyst,Audit Trainee,Finance Analyst","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved M.Com from Mangalayatan University – Online (m — recognised for corporate hiring.
mangalay-universi,MSc,"Pure Mathematics (Algebra,Analysis,Topology,Differential Equations,Statistics,Number Theory)",₹55K – ₹55K,2 Yrs,₹3L – ₹10L per annum,"Mathematics Teacher,Research Assistant,Data Analyst Trainee,Quantitative Analyst Trainee","Amazon,TCS,Wipro,Infosys,Capgemini,HCL,ICICI Bank,HDFC Bank,Reliance Industries,MNCs across IT/BFSI/Manufacturing",Industry project and virtual internship,UGC DEB approved MSc from Mangalayatan University – Online (m — recognised for corporate hiring.
shoolini,MBA,"Marketing Management,Human Resource Management,Financial Management,Digital Marketing,Retail Management,Banking & Insurance,Operation & Supply Chain Management,IT Management,Tourism Management,Real Estate Management,Direct Selling Management,Data Science & Business Analytics,Agri Business Management,Biotechnology Management,Food Technology Management,Pharma & Health Care Management",₹0.2L – ₹2.0L,2 Years,₹4L – ₹20L per annum,"Business Analyst,Marketing Manager,Financial Analyst,HR Manager,Operations Manager,IT Manager","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved MBA from Shoolini University – Shoolini Onli — recognised for corporate hiring.
shoolini,MCA,"Data Science,Cloud Computing,Cyber Security,Artificial Intelligence,Full Stack Development",₹0.3L – ₹2.0L,2 Years,₹5L – ₹20L per annum,"Software Developer,Python Developer,ML Engineer (junior),Data Analyst,Full Stack Developer,AI Developer","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved MCA from Shoolini University – Shoolini Onli — recognised for corporate hiring.
shoolini,BBA,"Marketing,Finance,Human Resource Management,Retail Management,Entrepreneurship",₹0.1L – ₹1.2L,3 Years,₹2.5L – ₹7L per annum,"Management Trainee,Sales Executive,Marketing Executive,HR Executive,Finance Associate,Business Development Executive","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved BBA from Shoolini University – Shoolini Onli — recognised for corporate hiring.
shoolini,BCA,"Web Development,Data Science,Cloud Technology & Information Security,Artificial Intelligence,Full Stack Development",₹90K – ₹110K,3 Years,₹3L – ₹10L per annum,"Software Developer,Python Developer,Web Developer,Data Analyst,AI/ML Engineer (junior),Full Stack Developer","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved BCA from Shoolini University – Shoolini Onli — recognised for corporate hiring.
shoolini,B.Com,B.Com (Hons),₹90K – ₹110K,3 Years,₹2.5L – ₹6L per annum,"Accountant,Tax Executive,Finance Associate,Audit Assistant,Banking Officer","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved B.Com from Shoolini University – Shoolini Onli — recognised for corporate hiring.
shoolini,MSc,M.Sc Data Science,₹130K – ₹160K,2 Years,₹6L – ₹25L per annum,"Data Analyst,ML Engineer,Data Scientist (junior),Business Intelligence Analyst,AI Developer","Accenture,Deloitte,Ericsson,ICICI Bank,KPMG,L&T,Mercer,Adani Group,Grant Thornton,L'Oreal",Industry project and virtual internship,UGC DEB approved MSc from Shoolini University – Shoolini Onli — recognised for corporate hiring.
manipal-jaipur,MBA,"Finance,Marketing,Human Resource Management,Analytics and Data Science,Digital Marketing,Operations Management,International Business,Project Management,Logistics & Supply Chain Management,Information System Management,IT & FinTech,BFSI (Banking,Financial Services and Insurance),Retail Management",₹43K – ₹175K,2 Years (4 Semesters),₹4L – ₹15L per annum,"Management Trainee,Business Analyst,Marketing Manager,HR Executive,Operations Manager,Financial Analyst","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved MBA from Manipal University Jaipur (MUJ) – O — recognised for corporate hiring.
manipal-jaipur,MCA,General Management,₹40K – ₹160K,2 Years (4 Semesters),₹5L – ₹18L per annum,"Software Engineer,ML Engineer,Cloud Developer,Cyber Security Analyst,Data Engineer","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved MCA from Manipal University Jaipur (MUJ) – O — recognised for corporate hiring.
manipal-jaipur,BBA,General Management,₹0.2L – ₹1.2L,3 Years (6 Semesters),₹3L – ₹7L per annum,"Management Trainee,Sales Executive,Marketing Executive,HR Executive,Operations Coordinator","Infosys,TCS,Wipro,HCL,Cognizant,Accenture,IBM,Amazon,Microsoft,HDFC Bank",Industry project and virtual internship,UGC DEB approved BBA from Manipal University Jaipur (MUJ) – O — recognised for corporate hiring.
