slug,word_count,h1_in_body,h2_count,h3_count,h_hierarchy_valid,focus_keyword_in_h1,focus_keyword_in_h2_variant,article_schema,faqpage_schema,schema_complete,image_count,internal_link_count,external_competitor_links,em_dashes_present,contact_cta_present,total_issues,priority
is-mba-post-graduation-india-2026,2005,no,10,0,yes,no,no,yes,yes,yes,1,12,0,yes,yes,1,1
amity-online-mba-review-2026,3790,no,23,6,yes,no,no,yes,yes,yes,1,25,0,yes,no,1,1
smu-online-mba-review,2053,no,18,4,yes,no,no,yes,yes,yes,1,12,0,yes,yes,1,1
uu-doon-online-mba-review,2016,no,18,3,yes,no,no,yes,yes,yes,1,10,0,yes,yes,1,1
galgotias-online-mba-review,2004,no,18,3,yes,no,no,yes,yes,yes,1,12,0,yes,yes,1,1
arka-jain-online-mba-review,2013,no,16,4,yes,no,no,yes,yes,yes,1,11,0,yes,yes,1,1
noida-international-university-online-mba-review,2010,no,13,3,yes,no,no,yes,yes,yes,1,15,0,yes,yes,1,1
shoolini-online-mba-review,2022,no,17,4,yes,no,no,yes,yes,yes,1,11,0,yes,yes,1,1
dy-patil-online-mba-review,2026,no,13,4,yes,no,no,yes,yes,yes,1,7,0,yes,yes,1,1
chandigarh-university-online-mba-review,2028,no,15,6,yes,no,no,yes,yes,yes,1,7,0,yes,yes,1,1
jaypee-jiit-online-mba-review,2016,no,14,4,yes,no,no,yes,yes,yes,1,10,0,yes,yes,1,1
mba-full-form-course-details-eligibility-fees-2026,3288,no,12,10,yes,no,no,yes,yes,yes,1,11,0,yes,no,1,1
best-online-bba-colleges-india-2026,2392,no,9,17,yes,no,no,yes,yes,yes,1,3,0,yes,yes,1,1
online-bba-fees-india-2026,2388,no,10,4,yes,no,no,yes,yes,yes,1,3,0,yes,yes,1,1
online-bba-india-2026,2469,no,8,12,yes,no,no,yes,yes,yes,1,3,0,yes,yes,1,1
online-mba-fintech-india-2026,2315,no,10,6,yes,no,no,yes,yes,yes,1,3,0,yes,yes,1,1
online-mba-hospitality-management-india-2026,2235,no,10,4,yes,no,no,yes,yes,yes,1,4,0,yes,yes,1,1
online-mba-logistics-management-india-2026,2278,no,9,4,yes,no,no,yes,yes,yes,1,4,0,yes,yes,1,1
amity-online-bba-fees-2026,2254,yes,11,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
amity-online-bba-review-2026,2484,yes,12,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
bits-pilani-online-mba-review-2026,2411,yes,12,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
imt-ghaziabad-online-mba-review-2026,2427,yes,13,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
jain-online-mba-review-2026,2611,yes,13,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-bba-degree-india-validity-2026,2707,yes,16,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-bba-in-india-2026,2830,yes,12,5,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-bba-programs-india-2026,3140,yes,20,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-mba-aviation-management-india-2026,2365,yes,14,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-mba-entrepreneurship-india-2026,2397,yes,13,5,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
online-mba-event-management-india-2026,2262,yes,13,3,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
upes-online-mba-review-2026,2403,yes,13,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
xlri-online-mba-review-2026,2621,yes,14,1,yes,no,n/a,yes,no,yes,1,2,0,no,yes,3,3
ignou-online-mba-review-2026,2005,no,16,0,yes,no,no,yes,yes,yes,1,2,0,no,no,1,3
distance-mba-kerala-programs-2026,2003,yes,13,0,yes,no,no,yes,yes,yes,1,4,0,no,no,1,3
14-principles-of-management-henri-fayol,2010,no,13,7,yes,no,n/a,yes,no,partial,1,6,0,no,no,1,3
best-computer-courses-after-12th-india-2026,2029,no,14,5,yes,no,n/a,yes,no,partial,1,6,0,no,no,1,3
iim-ranking-india-2026-all-iims-list,2004,no,13,0,yes,no,n/a,yes,no,partial,1,10,0,no,no,1,3
data-science-salary-india-2026-scope-jobs,2001,no,14,1,yes,no,n/a,yes,no,partial,1,11,0,no,no,1,3
investment-banking-career-india-salary-qualification,2038,no,12,8,yes,no,n/a,yes,no,partial,1,6,0,no,no,1,3
commerce-jobs-list-salary-india-2026,2297,no,11,0,yes,no,n/a,yes,no,partial,1,11,0,no,no,1,3
bsc-career-options-scope-salary-india-2026,2035,no,10,4,yes,no,n/a,yes,no,partial,1,10,0,no,no,1,3
is-online-mba-valid-india-2026,2222,no,9,15,yes,no,no,yes,yes,yes,1,2,0,no,yes,1,3
online-mba-with-placement-india-2026,2687,no,8,17,yes,no,no,yes,yes,yes,1,2,0,no,yes,1,3
online-mba-real-estate-management-india-2026,2185,no,9,4,yes,no,no,yes,yes,yes,1,2,0,no,yes,1,3
symbiosis-online-mba-review-2026,2022,no,17,0,yes,no,no,yes,yes,yes,1,5,0,no,no,0,3
mahe-online-mba-review-2026,2005,no,15,2,yes,no,no,yes,yes,yes,1,5,0,no,no,0,3
career-after-mba-jobs-salary-scope-2026,2040,no,13,5,yes,no,no,yes,yes,yes,1,10,0,no,no,0,3
career-after-bcom-jobs-salary-courses-2026,2035,no,13,5,yes,no,no,yes,yes,yes,1,13,0,no,no,0,3
1-year-mba-india-executive-mba-2026,2592,no,18,0,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
is-manipal-university-jaipur-fake-or-legit-2026,2008,no,16,0,yes,no,no,yes,yes,yes,1,5,0,no,no,0,3
mba-fees-india-complete-guide-2026,2123,no,15,0,yes,no,no,yes,yes,yes,1,10,0,no,no,0,3
career-after-12th-arts-courses-jobs-2026,2016,no,14,0,yes,no,no,yes,yes,yes,1,4,0,no,no,0,3
mba-after-bca-is-it-good-career-2026,2072,no,15,2,yes,no,no,yes,yes,yes,1,13,0,no,no,0,3
govt-jobs-after-mba-india-2026,2017,no,17,0,yes,no,no,yes,yes,yes,1,4,0,no,no,0,3
career-after-12th-science-courses-jobs-2026,2004,no,13,0,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
career-after-12th-commerce-courses-jobs-2026,2024,no,12,2,yes,no,no,yes,yes,yes,1,10,0,no,no,0,3
mba-after-bsc-is-it-good-2026,2015,no,15,0,yes,no,no,yes,yes,yes,1,13,0,no,no,0,3
online-mba-without-entrance-exam-india-2026,2035,no,13,0,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
cmat-exam-2026-guide-eligibility-pattern,2011,no,17,0,yes,no,no,yes,yes,yes,1,4,0,no,no,0,3
online-mba-salary-india-2026,2141,no,13,0,yes,no,no,yes,yes,yes,1,5,0,no,no,0,3
mba-marketing-career-salary-jobs-2026,2009,no,14,5,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
distance-mba-bangalore-2026,2048,no,15,5,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
online-mba-delhi-ncr-2026,2000,no,15,0,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
online-mba-for-freshers-india-2026,2005,no,14,0,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
online-mba-eligibility-criteria-india-2026,2055,no,17,0,yes,no,no,yes,yes,yes,1,15,0,no,no,0,3
mba-or-mca-which-is-better-2026,2073,no,17,0,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
online-mba-admission-process-india-2026,2005,no,18,0,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
mba-for-commerce-students-india-2026,2016,no,14,3,yes,no,no,yes,yes,yes,1,4,0,no,no,0,3
mba-scope-india-2026,2178,no,11,3,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
mba-vs-bba-which-is-better-2026,2215,no,11,0,yes,no,no,yes,yes,yes,1,15,0,no,yes,0,3
online-mba-government-employees-india-2026,2237,no,8,0,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
mba-international-business-career-2026,2486,no,8,0,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
mba-digital-marketing-career-2026,2246,no,8,0,yes,no,no,yes,yes,yes,1,16,0,no,yes,0,3
distance-mba-chennai-2026,2005,no,11,0,yes,no,no,yes,yes,yes,1,21,0,no,yes,0,3
distance-mba-hyderabad-2026,2520,no,11,0,yes,no,no,yes,yes,yes,1,17,0,no,yes,0,3
online-mba-ahmedabad-gujarat-2026,2479,no,10,0,yes,no,no,yes,yes,yes,1,22,0,no,yes,0,3
top-free-online-mba-courses-2026,2015,no,12,0,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
online-executive-mba-india-2026,2137,no,13,0,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
online-executive-mba-iim-2026,2154,no,12,5,yes,no,no,yes,yes,yes,1,10,0,no,no,0,3
is-distance-mba-worth-it-india-2026,2026,no,13,0,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
distance-mba-colleges-mumbai-2026,2018,no,17,3,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
top-online-mba-india-2026,2001,no,15,0,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
ma-distance-learning-india-2026,2054,no,16,0,yes,no,no,yes,yes,yes,1,7,0,no,no,0,3
top-correspondence-mba-colleges-india-2026,2015,no,15,9,yes,no,no,yes,yes,yes,1,14,0,no,no,0,3
online-mba-vs-distance-mba-difference-2026,2010,no,15,0,yes,no,no,yes,yes,yes,1,13,0,no,no,0,3
correspondence-mba-meaning-2026,2035,no,14,0,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
top-executive-mba-programs-india-2026,2049,no,12,0,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
icfai-online-mba-fees-2026,2059,no,13,3,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
icfai-distance-mba-2026,2057,no,16,3,yes,no,no,yes,yes,yes,1,11,0,no,no,0,3
jamia-hamdard-mba-2026,2030,no,15,0,yes,no,no,yes,yes,yes,1,12,0,no,no,0,3
mba-course-duration-india-2026,2138,no,13,0,yes,no,no,yes,yes,yes,1,9,0,no,no,0,3
bca-full-form-course-details-eligibility-fees-2026,2759,no,13,20,yes,no,no,yes,yes,yes,1,8,0,no,yes,0,3
bba-full-form-course-details-eligibility-fees-2026,3243,no,13,30,yes,no,no,yes,yes,yes,1,11,0,no,yes,0,3
mca-full-form-course-details-eligibility-fees-2026,2577,no,12,24,yes,no,no,yes,yes,yes,1,8,0,no,yes,0,3
bcom-full-form-course-details-eligibility-fees-2026,2602,no,13,13,yes,no,no,yes,yes,yes,1,11,0,no,yes,0,3
btech-full-form-course-details-eligibility-fees-2026,3092,no,11,22,yes,no,no,yes,yes,yes,1,10,0,no,yes,0,3
bsc-full-form-course-details-eligibility-fees-2026,3272,no,13,15,yes,no,no,yes,yes,yes,1,12,0,no,yes,0,3
ma-full-form-course-details-eligibility-fees-2026,3577,no,13,29,yes,no,no,yes,yes,yes,1,10,0,no,yes,0,3
best-online-mba-colleges-india-2026,2369,no,9,13,yes,no,no,yes,yes,yes,1,3,0,no,yes,0,3
amrita-online-bba-review-2026,2255,no,10,7,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
lpu-online-bba-review-2026,2335,no,10,7,yes,no,no,yes,yes,yes,1,11,0,no,yes,0,3
mahe-online-bba-review-2026,2569,no,11,9,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
nmims-online-bba-review-2026,2420,no,10,7,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
symbiosis-online-bba-review-2026,2408,no,11,7,yes,no,no,yes,yes,yes,1,14,0,no,yes,0,3
